feature,importance
sg_t2g_weighted,0.25357074
sg_arg_weighted,0.115750834
l6_avg_finish,0.07041077
l6_top10_rate,0.06440954
sg_app_weighted,0.048706606
l6_sg_total_avg,0.04423032
masters_appearances,0.043839794
top10_rate,0.043470368
l6_sg_app_avg,0.041860413
sg_total_weighted,0.040663604
masters_avg_finish,0.038180158
l6_cut_rate,0.036301292
cut_rate,0.03398864
sg_ott_weighted,0.031300206
masters_best_finish,0.0305496
augusta_fit,0.02893295
sg_putt_weighted,0.021391677
l6_sg_putt_avg,0.012442585
masters_wins,0.0
recent_form_bonus,0.0
